name,rate,votes,location,cuisines,approx_cost(for two people),online_order,book_table
Meghana Foods,4.6,1479,MG Road,Biryani,700,No,Yes
Empire Restaurant,4.1,1035,Banashankari,American,700,No,No
Local Restaurant 417,4.8,1581,Marathahalli,Chinese,400,No,No
Local Restaurant 418,4.3,1407,BTM,South Indian,800,Yes,Yes
Cafe Coffee Day,4.2,1408,MG Road,Pizza,800,Yes,Yes
Domino's Pizza,4.5,728,JP Nagar,Chinese,600,No,Yes
Meghana Foods,4.2,1655,Whitefield,Multi Cuisine,1000,No,Yes
Truffles,3.3,329,Marathahalli,South Indian,500,Yes,Yes
Domino's Pizza,4.0,54,Koramangala,Pizza,400,Yes,Yes
Pizza Hut,3.7,1882,JP Nagar,Italian,700,No,No
Truffles,4.9,2174,MG Road,Cafe,500,No,Yes
McDonald's,4.2,478,Whitefield,American,1400,Yes,No
Local Restaurant 427,3.2,892,JP Nagar,Cafe,1200,Yes,No
Pizza Hut,4.6,1493,BTM,American,900,Yes,No
Burger King,4.6,1531,BTM,Multi Cuisine,800,No,Yes
Pizza Hut,4.6,1692,Marathahalli,Biryani,500,No,No
Domino's Pizza,4.0,447,Marathahalli,American,1000,Yes,Yes
Local Restaurant 432,3.6,954,MG Road,North Indian,600,Yes,No
McDonald's,4.0,2430,Koramangala,Pizza,700,No,No
Local Restaurant 434,3.6,2457,Jayanagar,North Indian,500,No,Yes
Truffles,3.4,582,BTM,Italian,900,Yes,Yes
McDonald's,3.6,2464,Marathahalli,North Indian,900,No,No
Local Restaurant 437,3.9,645,HSR,Pizza,1400,No,No
Empire Restaurant,4.1,150,Whitefield,Chinese,1000,No,No
Meghana Foods,3.2,1078,Marathahalli,North Indian,1000,Yes,Yes
Pizza Hut,4.6,1825,Jayanagar,South Indian,1200,Yes,Yes
Local Restaurant 441,3.6,938,BTM,North Indian,1400,No,Yes
Local Restaurant 442,4.8,722,Marathahalli,Fast Food,700,No,No
Domino's Pizza,3.8,1621,MG Road,North Indian,1000,Yes,Yes
Domino's Pizza,3.8,1439,MG Road,North Indian,500,Yes,Yes
Truffles,4.3,980,Jayanagar,North Indian,1000,No,No
Subway,4.5,802,Banashankari,Cafe,600,No,Yes
Burger King,4.5,859,Whitefield,Biryani,800,Yes,Yes
Local Restaurant 448,4.4,2409,Whitefield,Cafe,900,No,No
Domino's Pizza,4.2,1034,Indiranagar,Italian,1200,No,No
Subway,3.8,808,HSR,Biryani,400,Yes,Yes
Empire Restaurant,4.1,385,HSR,Fast Food,900,Yes,Yes
McDonald's,4.5,1638,JP Nagar,Cafe,700,No,No
Pizza Hut,3.3,896,Whitefield,American,800,No,No
Truffles,4.5,705,Marathahalli,Pizza,500,No,Yes
Local Restaurant 455,3.6,283,JP Nagar,North Indian,1000,No,No
McDonald's,4.5,799,BTM,Multi Cuisine,1000,Yes,No
Cafe Coffee Day,3.5,1092,Indiranagar,Pizza,1200,Yes,Yes
Meghana Foods,4.3,1156,Indiranagar,Chinese,400,Yes,Yes
Domino's Pizza,3.8,547,Banashankari,Italian,1200,No,Yes
Truffles,3.5,116,MG Road,Chinese,1000,No,Yes
Empire Restaurant,3.6,2104,Marathahalli,Chinese,600,No,No
Meghana Foods,4.4,1325,MG Road,Fast Food,500,No,Yes
Empire Restaurant,4.8,1126,Banashankari,Cafe,400,No,Yes
Truffles,3.8,639,BTM,South Indian,1000,No,No
Subway,3.8,93,BTM,Biryani,1000,Yes,Yes
Domino's Pizza,3.3,1313,Marathahalli,Italian,400,Yes,No
Burger King,3.5,1383,Koramangala,Fast Food,900,Yes,Yes
Local Restaurant 468,3.4,249,JP Nagar,Cafe,400,Yes,Yes
McDonald's,4.6,80,BTM,North Indian,400,Yes,Yes
Burger King,4.8,1681,JP Nagar,Chinese,1000,No,No
Burger King,3.4,908,MG Road,Multi Cuisine,800,Yes,No
Burger King,3.8,2388,Koramangala,Multi Cuisine,500,No,Yes
Empire Restaurant,3.8,1937,Marathahalli,Fast Food,800,Yes,Yes
Pizza Hut,3.5,645,Indiranagar,Multi Cuisine,800,No,Yes
Meghana Foods,3.9,1925,HSR,Multi Cuisine,700,No,No
Truffles,4.8,1637,HSR,South Indian,1000,Yes,No
Cafe Coffee Day,4.8,838,BTM,Fast Food,400,Yes,Yes
Local Restaurant 478,4.1,1577,BTM,Fast Food,500,Yes,Yes
McDonald's,4.0,1776,Whitefield,Cafe,400,Yes,No
Local Restaurant 480,4.7,1781,Indiranagar,Italian,1400,No,Yes
Truffles,4.4,1514,Banashankari,Biryani,400,Yes,No
Truffles,4.8,910,Marathahalli,North Indian,400,No,No
Local Restaurant 483,4.3,717,Banashankari,South Indian,600,No,No
Meghana Foods,4.9,916,MG Road,North Indian,1200,No,Yes
McDonald's,3.9,237,Indiranagar,Biryani,1400,Yes,No
Cafe Coffee Day,3.7,1280,HSR,Chinese,600,No,Yes
Meghana Foods,3.3,519,MG Road,Multi Cuisine,1000,Yes,Yes
Truffles,4.1,2207,Indiranagar,Cafe,800,Yes,Yes
Truffles,4.6,1533,BTM,Pizza,900,Yes,No
McDonald's,3.9,2150,Jayanagar,Biryani,1000,No,Yes
Domino's Pizza,3.7,538,Indiranagar,Multi Cuisine,900,Yes,Yes
KFC,4.7,2385,BTM,American,800,No,No
Pizza Hut,4.9,2280,MG Road,Pizza,600,No,No
Truffles,4.7,2202,HSR,Multi Cuisine,800,Yes,Yes
Cafe Coffee Day,3.9,827,Indiranagar,Italian,1000,No,Yes
Domino's Pizza,4.1,239,Koramangala,Fast Food,1000,No,Yes
Local Restaurant 497,4.2,1255,Marathahalli,American,1400,No,Yes
Empire Restaurant,4.6,399,Marathahalli,American,600,Yes,No
Burger King,4.4,1469,Banashankari,North Indian,500,Yes,Yes
Local Restaurant 500,4.0,1207,Indiranagar,Multi Cuisine,1000,No,Yes
Domino's Pizza,4.7,1888,Whitefield,Cafe,1000,Yes,Yes
Meghana Foods,4.8,55,Koramangala,Multi Cuisine,1000,Yes,No
Local Restaurant 503,4.8,1403,Marathahalli,Fast Food,900,No,Yes
McDonald's,4.6,1840,Koramangala,Pizza,400,Yes,Yes
Truffles,4.3,1326,Indiranagar,Chinese,400,Yes,No
Cafe Coffee Day,4.8,499,Whitefield,North Indian,900,Yes,No
Domino's Pizza,3.5,888,MG Road,Fast Food,500,No,Yes
Domino's Pizza,3.5,1536,Banashankari,North Indian,900,Yes,Yes
KFC,3.7,576,BTM,Cafe,1000,Yes,Yes
Cafe Coffee Day,3.7,1744,HSR,American,900,Yes,No
Pizza Hut,3.5,920,BTM,American,1200,Yes,Yes
Empire Restaurant,3.3,881,MG Road,Italian,700,No,Yes
Domino's Pizza,3.7,1344,Jayanagar,Italian,400,No,No
Subway,4.6,2499,JP Nagar,South Indian,500,Yes,No
Local Restaurant 515,4.4,1604,Koramangala,North Indian,800,No,No
Pizza Hut,4.7,1684,Indiranagar,American,1400,No,No
Subway,4.6,1116,JP Nagar,American,900,No,Yes
Cafe Coffee Day,4.7,1694,Indiranagar,Multi Cuisine,1000,No,Yes
Local Restaurant 519,4.8,1885,Banashankari,Biryani,700,Yes,No
Local Restaurant 520,4.2,2461,HSR,Biryani,1200,No,Yes
Local Restaurant 521,3.3,62,Koramangala,South Indian,1200,Yes,No
Pizza Hut,4.8,371,Indiranagar,Multi Cuisine,700,Yes,No
KFC,3.9,1993,Whitefield,American,1400,Yes,No
Cafe Coffee Day,4.0,1585,BTM,Chinese,400,No,Yes
Meghana Foods,3.3,475,Indiranagar,Cafe,1400,Yes,No
Cafe Coffee Day,4.2,2455,Jayanagar,South Indian,700,No,No
Cafe Coffee Day,4.2,521,Banashankari,Fast Food,700,Yes,No
Meghana Foods,3.6,568,Indiranagar,Fast Food,1200,No,No
KFC,4.1,1056,BTM,Pizza,900,No,No
Domino's Pizza,4.2,1357,BTM,North Indian,400,No,Yes
Truffles,3.5,1314,Indiranagar,South Indian,600,No,No
Burger King,4.6,1760,Koramangala,Multi Cuisine,800,No,No
KFC,4.9,1885,Whitefield,Chinese,800,Yes,No
Cafe Coffee Day,4.6,1951,Koramangala,Biryani,1200,Yes,No
Pizza Hut,4.0,2443,Whitefield,Cafe,900,Yes,No
Burger King,3.3,100,Jayanagar,Multi Cuisine,400,No,No
Pizza Hut,3.9,757,MG Road,Pizza,1000,No,Yes
Local Restaurant 538,3.5,156,Koramangala,Chinese,1400,Yes,Yes
Truffles,4.4,963,Jayanagar,Chinese,500,No,No
Cafe Coffee Day,3.9,380,Banashankari,Italian,600,Yes,No
Cafe Coffee Day,4.5,1040,Koramangala,Chinese,800,No,Yes
McDonald's,4.2,388,HSR,Chinese,1400,No,Yes
Local Restaurant 543,4.6,1899,Jayanagar,South Indian,1000,No,No
Local Restaurant 544,4.0,757,Jayanagar,Pizza,1200,No,No
Local Restaurant 545,3.3,1905,Jayanagar,South Indian,400,No,No
Local Restaurant 546,4.7,2125,BTM,Italian,600,No,Yes
Burger King,4.0,513,Banashankari,Italian,400,Yes,Yes
Burger King,3.7,2493,HSR,South Indian,700,No,Yes
Subway,4.2,2362,Indiranagar,Pizza,600,Yes,Yes
Cafe Coffee Day,3.6,2337,HSR,Cafe,1200,No,Yes
Meghana Foods,4.1,2264,HSR,Fast Food,900,Yes,Yes
KFC,4.7,2431,HSR,South Indian,900,No,No
Local Restaurant 553,4.4,212,Koramangala,Multi Cuisine,1000,Yes,Yes
Local Restaurant 554,4.2,531,HSR,Biryani,600,No,Yes
Truffles,3.4,1067,Indiranagar,Pizza,800,No,No
Domino's Pizza,4.0,2485,Marathahalli,Pizza,600,No,Yes
Domino's Pizza,4.8,2107,Whitefield,Fast Food,600,Yes,No
Local Restaurant 558,4.3,1325,JP Nagar,North Indian,600,No,Yes
Local Restaurant 559,3.9,1759,Koramangala,Cafe,700,Yes,Yes
Domino's Pizza,4.7,784,Whitefield,Cafe,900,No,Yes
KFC,3.2,1974,Banashankari,Multi Cuisine,1400,No,No
Local Restaurant 562,4.7,1513,JP Nagar,Fast Food,1000,Yes,Yes
Domino's Pizza,4.2,102,HSR,Biryani,900,No,No
Subway,4.8,1369,MG Road,Chinese,1000,No,Yes
Meghana Foods,4.2,869,JP Nagar,Italian,800,Yes,Yes
Local Restaurant 566,4.1,1482,HSR,Fast Food,500,Yes,No
KFC,3.6,2288,HSR,Fast Food,1200,Yes,No
Pizza Hut,4.6,2415,BTM,North Indian,700,Yes,No
Cafe Coffee Day,3.5,408,HSR,Multi Cuisine,400,No,Yes
Local Restaurant 570,4.1,516,Indiranagar,North Indian,700,Yes,Yes
Domino's Pizza,3.9,929,Whitefield,North Indian,1200,Yes,Yes
McDonald's,3.8,694,HSR,North Indian,1000,No,Yes
KFC,3.6,2211,BTM,North Indian,600,No,No
Domino's Pizza,4.2,512,Indiranagar,Multi Cuisine,1000,No,Yes
Subway,3.7,696,Koramangala,Italian,700,No,No
Subway,3.5,508,MG Road,Fast Food,500,Yes,No
Pizza Hut,3.9,2386,Indiranagar,American,500,No,Yes
KFC,4.5,273,MG Road,South Indian,700,Yes,Yes
Domino's Pizza,4.1,704,JP Nagar,Cafe,700,No,No
Burger King,3.6,1559,Jayanagar,American,1400,Yes,No
KFC,4.8,1897,BTM,Multi Cuisine,500,No,Yes
Truffles,3.4,1647,MG Road,Chinese,800,Yes,No
Empire Restaurant,4.7,1173,MG Road,Pizza,500,Yes,Yes
Empire Restaurant,4.1,898,BTM,Cafe,1200,No,No
Burger King,4.3,168,HSR,Italian,1200,No,Yes
Local Restaurant 586,4.2,853,Banashankari,Biryani,600,No,No
Local Restaurant 587,4.5,2451,MG Road,Biryani,700,Yes,Yes
McDonald's,4.2,1383,Indiranagar,Cafe,900,No,Yes
Domino's Pizza,3.8,888,Indiranagar,North Indian,900,Yes,No
Local Restaurant 590,4.8,197,MG Road,South Indian,500,No,Yes
Local Restaurant 591,3.4,1472,Jayanagar,Multi Cuisine,1000,No,Yes
Subway,4.2,81,Banashankari,American,900,Yes,Yes
Pizza Hut,4.0,1693,Banashankari,South Indian,400,Yes,Yes
Domino's Pizza,4.7,937,MG Road,Pizza,500,No,No
Local Restaurant 595,4.4,676,Marathahalli,Italian,1200,Yes,Yes
Cafe Coffee Day,3.3,228,Whitefield,Italian,1000,Yes,No
Cafe Coffee Day,3.3,2140,Whitefield,American,1400,Yes,Yes
McDonald's,4.1,1516,MG Road,North Indian,800,Yes,Yes
Truffles,4.5,2301,MG Road,Chinese,700,Yes,Yes
Empire Restaurant,3.6,1767,JP Nagar,North Indian,1000,Yes,No
Empire Restaurant,4.0,833,Marathahalli,Cafe,400,Yes,No
McDonald's,4.8,883,Banashankari,Cafe,900,No,Yes
KFC,3.3,1573,Koramangala,Biryani,1400,No,Yes
Domino's Pizza,4.2,1835,Indiranagar,Pizza,900,No,Yes
Domino's Pizza,4.6,730,MG Road,Biryani,1200,Yes,No
Local Restaurant 606,3.9,236,Jayanagar,North Indian,500,No,No
Cafe Coffee Day,3.6,917,HSR,Cafe,1000,No,No
McDonald's,3.3,2403,Jayanagar,American,400,Yes,No
Empire Restaurant,4.0,1368,Banashankari,American,600,Yes,No
Domino's Pizza,3.7,684,Banashankari,Multi Cuisine,400,Yes,No
Truffles,3.5,1548,Marathahalli,North Indian,1400,Yes,No
Local Restaurant 612,3.8,2011,Marathahalli,South Indian,1400,No,No
Burger King,4.5,1118,JP Nagar,Cafe,500,Yes,Yes
Meghana Foods,4.6,887,Jayanagar,Multi Cuisine,700,Yes,Yes
Empire Restaurant,4.3,2121,MG Road,Chinese,1000,No,Yes
McDonald's,4.8,2293,Koramangala,Pizza,600,No,No
McDonald's,4.6,2062,Banashankari,South Indian,400,Yes,No
Pizza Hut,3.7,846,BTM,Multi Cuisine,1000,Yes,Yes
Pizza Hut,4.7,1761,Koramangala,Pizza,700,Yes,Yes
Empire Restaurant,4.7,2090,BTM,South Indian,400,Yes,No
Meghana Foods,4.0,1699,Banashankari,Biryani,1200,No,No
Local Restaurant 622,3.9,1998,HSR,Pizza,1200,Yes,No
Truffles,3.9,1910,Jayanagar,Multi Cuisine,900,Yes,Yes
Local Restaurant 624,3.5,51,BTM,North Indian,900,No,No
Domino's Pizza,4.1,2187,HSR,American,1200,Yes,No
Burger King,4.2,1486,HSR,South Indian,1000,No,Yes
Truffles,4.2,273,Indiranagar,South Indian,600,Yes,No
Meghana Foods,4.1,80,Koramangala,South Indian,400,Yes,No
Burger King,4.5,143,Koramangala,Chinese,1000,Yes,Yes
Local Restaurant 630,4.2,1023,Whitefield,Multi Cuisine,1200,No,Yes
Empire Restaurant,3.7,1341,HSR,Multi Cuisine,400,No,No
McDonald's,4.3,644,Marathahalli,Italian,700,Yes,No
Empire Restaurant,4.2,933,HSR,Cafe,700,Yes,Yes
Empire Restaurant,3.9,2144,MG Road,North Indian,900,No,No
Meghana Foods,4.6,1789,HSR,American,500,Yes,No
Truffles,4.9,2114,BTM,Cafe,600,No,Yes
Empire Restaurant,3.7,2045,BTM,Multi Cuisine,500,No,Yes
Domino's Pizza,4.6,1238,Indiranagar,Biryani,1400,Yes,No
Cafe Coffee Day,4.6,2213,Jayanagar,Multi Cuisine,1000,Yes,Yes
Cafe Coffee Day,3.4,2292,MG Road,North Indian,500,No,No
Local Restaurant 641,4.8,275,Banashankari,Biryani,1400,No,Yes
Local Restaurant 642,3.9,463,JP Nagar,Italian,800,No,No
Cafe Coffee Day,4.4,2265,HSR,American,400,Yes,No
KFC,3.4,1046,Koramangala,South Indian,800,No,Yes
Truffles,3.3,109,MG Road,Fast Food,900,No,No
Pizza Hut,4.8,1285,JP Nagar,Biryani,500,Yes,Yes
Burger King,4.9,1549,BTM,American,1400,Yes,Yes
Local Restaurant 648,4.6,341,Koramangala,Fast Food,500,Yes,No
Local Restaurant 649,3.9,1635,Marathahalli,Italian,600,Yes,No
Local Restaurant 650,4.9,290,Koramangala,American,700,Yes,No
Subway,4.7,1335,Marathahalli,Fast Food,1400,No,No
Local Restaurant 652,4.8,1022,HSR,North Indian,500,Yes,Yes
Truffles,3.5,2333,Jayanagar,American,800,No,Yes
McDonald's,4.8,1961,HSR,South Indian,1000,Yes,No
Domino's Pizza,4.7,1214,Koramangala,Italian,1400,Yes,Yes
Burger King,4.3,1546,JP Nagar,Cafe,1200,No,Yes
Truffles,3.7,281,Koramangala,Multi Cuisine,700,No,No
Local Restaurant 658,3.9,656,Indiranagar,American,1200,Yes,No
Domino's Pizza,3.3,1347,Banashankari,Pizza,400,Yes,No
Local Restaurant 660,3.2,313,HSR,American,500,Yes,Yes
Local Restaurant 661,3.8,786,JP Nagar,South Indian,800,Yes,Yes
KFC,4.3,992,BTM,South Indian,400,No,Yes
Local Restaurant 663,3.9,678,Koramangala,Cafe,1400,No,Yes
Local Restaurant 664,4.3,2369,Koramangala,North Indian,1400,Yes,No
Local Restaurant 665,3.3,1454,Koramangala,Cafe,700,Yes,Yes
Cafe Coffee Day,4.4,1195,BTM,American,600,Yes,Yes
Pizza Hut,3.3,839,HSR,Italian,600,No,No
Local Restaurant 668,4.6,1837,Koramangala,Biryani,700,Yes,No
Empire Restaurant,3.7,1541,Koramangala,Biryani,1400,No,Yes
Empire Restaurant,3.4,1350,Jayanagar,Italian,1000,Yes,No
Burger King,3.8,327,JP Nagar,American,900,No,No
Domino's Pizza,3.3,1856,HSR,Cafe,600,Yes,No
Subway,4.2,802,JP Nagar,Biryani,900,Yes,Yes
Truffles,4.7,1292,HSR,Pizza,500,Yes,Yes
Cafe Coffee Day,4.4,1323,BTM,American,1400,No,No
Subway,3.7,2013,HSR,South Indian,700,Yes,No
Burger King,3.8,1031,Indiranagar,Cafe,1200,No,Yes
Local Restaurant 678,3.4,2257,Whitefield,Fast Food,1000,No,Yes
Domino's Pizza,3.5,522,Whitefield,Cafe,1400,Yes,Yes
McDonald's,4.1,1723,JP Nagar,Chinese,700,Yes,No
Subway,3.3,1927,Marathahalli,Italian,1000,No,Yes
Local Restaurant 682,4.4,781,Jayanagar,Pizza,1400,No,No
Subway,3.2,582,BTM,Cafe,500,Yes,No
Subway,3.7,73,Whitefield,Cafe,500,No,Yes
McDonald's,3.3,98,HSR,American,1200,No,No
Cafe Coffee Day,4.5,1412,MG Road,Biryani,800,No,No
Empire Restaurant,4.6,2154,JP Nagar,American,1200,No,Yes
KFC,4.5,818,Banashankari,Biryani,500,No,Yes
Local Restaurant 689,3.9,534,Indiranagar,American,500,No,Yes
Pizza Hut,3.6,2227,MG Road,Chinese,900,No,Yes
Subway,3.3,1074,Jayanagar,Pizza,700,Yes,No
Subway,4.0,457,MG Road,Cafe,500,No,Yes
Pizza Hut,3.3,1272,BTM,Chinese,400,No,No
Local Restaurant 694,4.7,67,MG Road,Fast Food,900,No,No
Burger King,3.4,2389,Indiranagar,Chinese,800,Yes,No
Truffles,4.4,2094,Koramangala,Pizza,1000,Yes,No
Local Restaurant 697,3.5,226,BTM,Italian,1000,No,Yes
Subway,4.8,1454,Koramangala,South Indian,500,Yes,Yes
Domino's Pizza,4.6,977,Indiranagar,Chinese,600,Yes,Yes
Burger King,4.6,1178,JP Nagar,Fast Food,700,No,Yes
Domino's Pizza,4.6,1402,Indiranagar,Cafe,700,No,No
KFC,4.9,817,JP Nagar,South Indian,900,No,Yes
Truffles,4.7,1870,JP Nagar,Fast Food,400,Yes,Yes
Pizza Hut,3.8,1660,Marathahalli,Italian,1000,No,Yes
Local Restaurant 705,3.7,2204,Jayanagar,Chinese,1200,No,Yes
Local Restaurant 706,4.4,1575,Marathahalli,Fast Food,600,No,Yes
Local Restaurant 707,3.8,1226,MG Road,South Indian,1400,Yes,No
Subway,3.4,315,Indiranagar,South Indian,800,No,No
Truffles,3.3,643,BTM,Pizza,1200,No,No
Truffles,3.6,1782,MG Road,Pizza,900,No,No
KFC,3.3,683,Indiranagar,South Indian,400,Yes,No
Domino's Pizza,3.7,2008,MG Road,Italian,900,No,Yes
Burger King,3.4,355,Jayanagar,Biryani,700,Yes,No
Burger King,3.4,75,Indiranagar,Pizza,800,No,No
Local Restaurant 715,4.4,1132,Banashankari,Chinese,800,Yes,Yes
Pizza Hut,3.6,1924,BTM,Pizza,500,No,Yes
Burger King,3.3,520,Banashankari,Italian,500,Yes,Yes
McDonald's,4.4,1126,Whitefield,Pizza,900,Yes,Yes
Subway,3.2,1785,Koramangala,Italian,900,No,Yes
Pizza Hut,4.9,389,Jayanagar,Biryani,1400,No,No
Pizza Hut,3.4,732,Marathahalli,Fast Food,600,No,Yes
Empire Restaurant,4.0,715,JP Nagar,Multi Cuisine,900,Yes,Yes
Meghana Foods,4.4,1323,Jayanagar,Chinese,800,Yes,Yes
Pizza Hut,4.2,1637,Indiranagar,Fast Food,1000,No,No
KFC,4.1,1828,Whitefield,Fast Food,500,Yes,Yes
Local Restaurant 726,4.6,2108,Marathahalli,Multi Cuisine,1200,No,Yes
Local Restaurant 727,4.3,965,MG Road,North Indian,1200,Yes,No
Domino's Pizza,3.2,1810,Indiranagar,Chinese,700,No,Yes
McDonald's,4.2,1602,Whitefield,Cafe,800,No,Yes
McDonald's,3.7,1368,Jayanagar,Multi Cuisine,1000,Yes,Yes
Subway,4.9,1109,HSR,Cafe,400,No,Yes
Burger King,4.7,886,Whitefield,Fast Food,900,Yes,Yes
KFC,4.2,1019,Marathahalli,Fast Food,600,Yes,Yes
Burger King,4.1,509,Indiranagar,American,400,Yes,No
Local Restaurant 735,4.8,296,Whitefield,Fast Food,1000,No,Yes
Truffles,4.5,1791,MG Road,Italian,400,No,No
Empire Restaurant,4.8,727,HSR,North Indian,700,No,No
Domino's Pizza,3.8,2439,BTM,Pizza,500,Yes,Yes
Domino's Pizza,3.7,1872,HSR,North Indian,500,Yes,No
KFC,3.2,1554,MG Road,North Indian,1000,No,Yes
Burger King,3.5,904,Indiranagar,Chinese,1200,Yes,No
Cafe Coffee Day,3.4,2191,MG Road,Fast Food,600,No,No
McDonald's,4.0,1710,MG Road,Biryani,600,Yes,Yes
Local Restaurant 744,3.7,1994,JP Nagar,South Indian,1200,Yes,Yes
KFC,3.7,1118,MG Road,Cafe,700,No,No
Cafe Coffee Day,4.7,2203,Whitefield,Pizza,400,Yes,No
Domino's Pizza,3.6,784,Jayanagar,Italian,1400,No,Yes
Pizza Hut,4.1,64,HSR,Fast Food,500,Yes,No
McDonald's,3.5,422,Indiranagar,Fast Food,1000,No,No
Subway,4.1,2453,Banashankari,American,700,Yes,Yes
Domino's Pizza,4.5,377,Jayanagar,South Indian,800,Yes,No
Local Restaurant 752,3.9,1873,Koramangala,South Indian,900,Yes,No
Meghana Foods,4.5,135,BTM,South Indian,700,No,No
Subway,4.8,415,Banashankari,Cafe,600,No,No
Subway,3.8,441,Banashankari,Cafe,1000,Yes,No
Pizza Hut,4.2,173,Indiranagar,Pizza,600,Yes,No
Burger King,3.3,1331,Whitefield,Pizza,1000,No,No
Cafe Coffee Day,4.9,1007,Marathahalli,Biryani,500,No,Yes
Local Restaurant 759,4.4,61,BTM,Chinese,1200,Yes,Yes
Pizza Hut,3.8,509,BTM,Multi Cuisine,1200,Yes,No
Domino's Pizza,3.5,236,Koramangala,North Indian,1400,Yes,No
Truffles,3.2,2007,Jayanagar,Biryani,900,No,No
KFC,4.3,1696,Koramangala,Multi Cuisine,700,No,No
Pizza Hut,3.9,503,MG Road,Cafe,500,Yes,No
Pizza Hut,3.4,2313,Jayanagar,Biryani,700,Yes,No
Meghana Foods,3.6,2295,Koramangala,South Indian,600,Yes,Yes
Meghana Foods,3.6,2408,Jayanagar,North Indian,900,No,Yes
Subway,4.6,1568,Marathahalli,South Indian,900,Yes,Yes
Domino's Pizza,4.6,2085,BTM,American,400,Yes,No
Meghana Foods,4.6,2432,Jayanagar,South Indian,1200,Yes,No
Empire Restaurant,3.3,665,MG Road,Biryani,1400,Yes,Yes
Truffles,4.4,791,Indiranagar,Cafe,1200,No,Yes
McDonald's,3.9,1395,HSR,Chinese,500,Yes,No
Pizza Hut,4.1,1239,Banashankari,Biryani,600,No,No
Empire Restaurant,3.9,2342,Jayanagar,Cafe,900,Yes,Yes
Pizza Hut,3.7,58,Marathahalli,Biryani,800,Yes,No
Truffles,4.3,2460,Koramangala,Chinese,500,No,Yes
Local Restaurant 778,3.4,1148,Banashankari,Italian,600,No,Yes
Subway,3.5,1281,MG Road,South Indian,1200,Yes,No
KFC,4.7,1979,Indiranagar,Pizza,600,Yes,Yes
Burger King,4.1,159,Marathahalli,Pizza,1400,Yes,Yes
Burger King,4.4,1448,Indiranagar,Pizza,600,No,Yes
Local Restaurant 783,3.5,2374,Koramangala,North Indian,1000,Yes,Yes
Meghana Foods,4.1,1521,BTM,Multi Cuisine,400,No,Yes
Pizza Hut,4.8,2309,HSR,North Indian,400,No,Yes
KFC,4.6,839,Indiranagar,Chinese,800,Yes,Yes
KFC,3.4,2390,Whitefield,North Indian,400,Yes,No
Local Restaurant 788,4.5,1542,HSR,North Indian,900,Yes,Yes
Cafe Coffee Day,3.3,274,HSR,South Indian,800,Yes,No
Burger King,4.8,1883,HSR,Multi Cuisine,800,Yes,No
Truffles,3.4,169,MG Road,American,400,Yes,No
Domino's Pizza,4.5,1128,Koramangala,Chinese,900,Yes,Yes
Subway,4.1,2094,Marathahalli,Italian,500,No,Yes
Meghana Foods,3.5,1489,Whitefield,Chinese,900,Yes,Yes
Meghana Foods,4.7,1735,Jayanagar,Chinese,800,Yes,No
Local Restaurant 796,4.7,548,MG Road,Biryani,1200,Yes,Yes
Local Restaurant 797,4.6,1020,HSR,Italian,1000,No,Yes
Meghana Foods,3.4,754,Marathahalli,South Indian,900,Yes,No
McDonald's,3.8,1608,Indiranagar,North Indian,1000,Yes,Yes
Subway,4.5,591,Banashankari,North Indian,1400,Yes,Yes
Truffles,4.6,2353,Indiranagar,South Indian,1000,No,No
Subway,4.0,1657,Banashankari,South Indian,800,No,No
Burger King,3.5,1797,Whitefield,Fast Food,1200,No,No
Local Restaurant 804,3.7,780,JP Nagar,Fast Food,1400,No,No
Meghana Foods,3.8,1571,Koramangala,Fast Food,800,Yes,Yes
Subway,4.5,2267,Banashankari,Pizza,800,Yes,No
Subway,4.8,1641,Koramangala,Multi Cuisine,1200,Yes,Yes
Subway,3.9,221,JP Nagar,Italian,500,Yes,Yes
Burger King,4.8,2401,Marathahalli,American,1400,No,Yes
Burger King,4.6,2447,Jayanagar,South Indian,400,Yes,Yes
Burger King,3.7,2063,JP Nagar,Chinese,1000,Yes,Yes
Burger King,4.8,1572,BTM,Multi Cuisine,1400,Yes,Yes
Truffles,3.6,2283,MG Road,Fast Food,1200,Yes,No
Domino's Pizza,4.3,804,Koramangala,Italian,600,Yes,No
Truffles,4.4,134,Indiranagar,Pizza,600,Yes,No
Subway,3.5,913,JP Nagar,Italian,1000,Yes,Yes
Meghana Foods,4.5,212,HSR,Multi Cuisine,400,Yes,No
McDonald's,4.5,1042,Jayanagar,Italian,1200,No,No
KFC,4.7,2148,JP Nagar,Fast Food,1200,No,No
Empire Restaurant,4.4,1704,Koramangala,Biryani,800,Yes,Yes
Burger King,4.1,1544,Marathahalli,Chinese,800,Yes,Yes
Meghana Foods,3.7,1725,Whitefield,South Indian,700,Yes,No
Domino's Pizza,4.9,428,HSR,South Indian,1200,No,Yes
Local Restaurant 824,4.2,2074,Banashankari,Biryani,700,Yes,Yes
Cafe Coffee Day,3.4,1035,Koramangala,Fast Food,700,No,No
Subway,3.9,1463,MG Road,Cafe,500,No,Yes
Meghana Foods,3.7,1992,MG Road,Fast Food,700,No,Yes
McDonald's,3.3,2130,Whitefield,Italian,600,Yes,Yes
Local Restaurant 829,4.3,518,Whitefield,American,500,Yes,Yes
Subway,4.7,397,Koramangala,Multi Cuisine,1200,Yes,No
Domino's Pizza,3.9,1905,JP Nagar,American,700,Yes,No
